Sample ID,chain_type,rna_count
TCGA-05-4424-01A,IGH,24
TCGA-05-4424-01A,IGL,129
TCGA-05-4424-01A,IGK,410
TCGA-05-4424-01A,TRA,114
TCGA-05-4424-01A,TRB,1
TCGA-05-4424-01A,TRD,2
TCGA-05-4424-01A,TRG,0
TCGA-44-5643-01A,IGH,68
TCGA-44-5643-01A,IGL,194
TCGA-44-5643-01A,IGK,477
TCGA-44-5643-01A,TRA,82
TCGA-44-5643-01A,TRB,7
TCGA-44-5643-01A,TRD,3
TCGA-44-5643-01A,TRG,0
TCGA-62-A46P-01A,IGH,21
TCGA-62-A46P-01A,IGL,89
TCGA-62-A46P-01A,IGK,254
TCGA-62-A46P-01A,TRA,82
TCGA-62-A46P-01A,TRB,0
TCGA-62-A46P-01A,TRD,1
TCGA-62-A46P-01A,TRG,0
TCGA-99-8025-01A,IGH,70
TCGA-99-8025-01A,IGL,353
TCGA-99-8025-01A,IGK,531
TCGA-99-8025-01A,TRA,126
TCGA-99-8025-01A,TRB,4
TCGA-99-8025-01A,TRD,2
TCGA-99-8025-01A,TRG,0
TCGA-64-5774-01A,IGH,119
TCGA-64-5774-01A,IGL,443
TCGA-64-5774-01A,IGK,1727
TCGA-64-5774-01A,TRA,419
TCGA-64-5774-01A,TRB,2
TCGA-64-5774-01A,TRD,10
TCGA-64-5774-01A,TRG,0
TCGA-78-7539-01A,IGH,38
TCGA-78-7539-01A,IGL,129
TCGA-78-7539-01A,IGK,456
TCGA-78-7539-01A,TRA,129
TCGA-78-7539-01A,TRB,6
TCGA-78-7539-01A,TRD,3
TCGA-78-7539-01A,TRG,1
TCGA-97-7552-01A,IGH,214
TCGA-97-7552-01A,IGL,988
TCGA-97-7552-01A,IGK,2680
TCGA-97-7552-01A,TRA,821
TCGA-97-7552-01A,TRB,7
TCGA-97-7552-01A,TRD,27
TCGA-97-7552-01A,TRG,5
TCGA-78-7161-01A,IGH,34
TCGA-78-7161-01A,IGL,180
TCGA-78-7161-01A,IGK,474
TCGA-78-7161-01A,TRA,137
TCGA-78-7161-01A,TRB,1
TCGA-78-7161-01A,TRD,4
TCGA-78-7161-01A,TRG,1
TCGA-69-7764-01A,IGH,62
TCGA-69-7764-01A,IGL,169
TCGA-69-7764-01A,IGK,747
TCGA-69-7764-01A,TRA,191
TCGA-69-7764-01A,TRB,5
TCGA-69-7764-01A,TRD,3
TCGA-69-7764-01A,TRG,0
TCGA-99-8032-01A,IGH,94
TCGA-99-8032-01A,IGL,459
TCGA-99-8032-01A,IGK,1078
TCGA-99-8032-01A,TRA,300
TCGA-99-8032-01A,TRB,4
TCGA-99-8032-01A,TRD,9
TCGA-99-8032-01A,TRG,0
TCGA-97-7937-01A,IGH,22
TCGA-97-7937-01A,IGL,86
TCGA-97-7937-01A,IGK,301
TCGA-97-7937-01A,TRA,83
TCGA-97-7937-01A,TRB,0
TCGA-97-7937-01A,TRD,1
