sample,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG, loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG
005301a4-1151-4421-9c73-961a7b628b63_gdc_realn_rehead,36,481,118,183,1,2,0,176,2915,552,15092,2,6,0,3.1545345077806224,5.625628580863558,4.367808519277267,0.5777944285792421,-0.0,0.6365141682948128,0
01d7c202-af14-4720-92ad-6c9ab5273e5b_gdc_realn_rehead,5,111,31,25,1,0,1,21,340,80,118,4,0,3,1.5012834639366595,4.57342738366656,3.373466052787308,2.6811522609799523,-0.0,0,-0.0
02b776d9-d5eb-4b34-9854-82d4cfae4751_gdc_realn_rehead,24,484,171,113,8,4,1,352,8887,2061,2969,23,32,7,1.6683504639030435,3.8404884574978784,3.65843594642724,2.2184358892194944,1.9565588879179248,1.040839837423239,-0.0
0330e749-318e-4de9-9c99-1443594b6360_gdc_realn_rehead,70,1271,400,272,4,5,0,414,13008,3006,3518,9,27,0,3.8209865944856225,6.284634397653345,5.278629968249564,3.2668938166317956,1.3689223607402192,1.451749754706546,0
033f395d-f27b-4199-a16f-6bd6b18449a4_gdc_realn_rehead,228,2182,754,786,4,23,0,1338,24357,5205,13119,20,151,0,4.586898317136695,6.306817319609056,5.971491093839694,3.2380007322893394,1.0250939117917865,2.4122659378136193,0
03e07184-68da-4e59-abb6-c5b6526c990c_gdc_realn_rehead,24,210,106,86,3,0,0,233,2670,956,18275,6,0,0,2.3729020040611197,4.074534495659782,3.6560822224183283,0.19699886945349424,1.0986122886681096,0,0
053bca4b-74e4-4fba-bd0d-7b2c2d678a66_gdc_realn_rehead,24,349,98,66,1,0,0,170,3878,683,610,3,0,0,2.8516054186393966,4.51078524514029,3.945465224731048,2.2801718227094603,-0.0,0,0
05856688-714a-446b-8652-d38e94d7ae93_gdc_realn_rehead,47,1007,255,264,5,6,1,225,16069,1353,10872,11,43,2,3.497401613298605,5.4265695862115075,5.035619843829564,1.9296595526837232,1.594166699118017,1.4666756077121808,-0.0
058ef2a4-a1f9-40ea-ad44-b4e00dc5b014_gdc_realn_rehead,14,108,56,42,4,4,1,58,334,171,150,8,12,2,2.3214828331643287,4.4557652457148995,3.8739412411480467,3.3647014748912523,1.3862943611198906,1.242453324894,-0.0
0601965e-336a-474e-85c0-398a3c4d7782_gdc_realn_rehead,6,74,21,16,1,0,0,46,382,82,128,2,0,0,1.3352319016883216,3.762135239765667,2.9296198631510157,2.1271495785539773,-0.0,0,0
