sample,n_viral,n_fungi,n_protozoa,n_microbiome
005301a4-1151-4421-9c73-961a7b628b63_gdc_realn_rehead,193176,218907,129051,541134
01d7c202-af14-4720-92ad-6c9ab5273e5b_gdc_realn_rehead,43026,14795,2812,60633
02b776d9-d5eb-4b34-9854-82d4cfae4751_gdc_realn_rehead,558037,21494,8278,587809
0330e749-318e-4de9-9c99-1443594b6360_gdc_realn_rehead,82420,26170,7814,116404
033f395d-f27b-4199-a16f-6bd6b18449a4_gdc_realn_rehead,322181,89691,48883,460755
03e07184-68da-4e59-abb6-c5b6526c990c_gdc_realn_rehead,427890,353166,258321,1039377
053bca4b-74e4-4fba-bd0d-7b2c2d678a66_gdc_realn_rehead,134957,64398,5343,204698
05856688-714a-446b-8652-d38e94d7ae93_gdc_realn_rehead,204525,68448,32513,305486
058ef2a4-a1f9-40ea-ad44-b4e00dc5b014_gdc_realn_rehead,107977,15206,4435,127618
0601965e-336a-474e-85c0-398a3c4d7782_gdc_realn_rehead,541613,13121,4463,559197
06904d76-38ca-4c2a-8699-a57aacce0ec2_gdc_realn_rehead,157191,46205,10461,213857
0699db2f-847c-4944-8b5e-2f2a196d5707_gdc_realn_rehead,36172,8396,2398,46966
077dd646-bab9-4a29-8994-105e1a9f6def_gdc_realn_rehead,219029,36562,3637,259228
07c72ab1-765a-4cad-a8f5-b219b1df8089_gdc_realn_rehead,65504,7826,3323,76653
07f95427-39be-4884-b539-c9f3e329bebc_gdc_realn_rehead,57721,10405,3449,71575
0813f7de-f80a-488b-a275-e4636629aca3_gdc_realn_rehead,228382,173461,107485,509328
086e890b-cdc3-455e-84a8-66dbfa3aae11_gdc_realn_rehead,247090,47745,16287,311122
091d8ab7-7cad-4921-b2c2-4304ed611fc9_gdc_realn_rehead,92768,11623,3294,107685
09646946-fcec-44b7-8b26-a7ce89012ab1_gdc_realn_rehead,2203487,1376454,999877,4579818
0a18b687-11be-427b-82a9-b11d80b0ea3d_gdc_realn_rehead,137114,25744,4796,167654
0a8e1c17-5ac8-4509-9741-ec1c59c5cebc_gdc_realn_rehead,213900,15920,5231,235051
0d3c1f7c-8aab-4cdb-a652-d873b630de45_gdc_realn_rehead,59250,19263,3861,82374
0d6e7057-6aa8-46ff-9e9b-e0ba237eb19b_gdc_realn_rehead,87200,11628,2368,101196
0da55f74-bd6d-4b13-88db-20863165b06b_gdc_realn_rehead,56348,26089,3313,85750
0daa1a31-b86c-4353-b403-59db8ebcb851_gdc_realn_rehead,47612,10569,3114,61295
0ddd82c2-8cdb-4ec0-9c5f-3321f312e962_gdc_realn_rehead,131412,40381,18526,190319
0e8babe1-4c15-4d9c-a26b-2ad839cef580_gdc_realn_rehead,928395,15839,4007,948241
0ea510ed-4e24-4c5b-ab49-cfef85aedeab_gdc_realn_rehead,201234,66333,11981,279548
0f077bd4-3907-4a81-a3df-0c1f5f32ff47_gdc_realn_rehead,226101,45010,9147,280258
100406a4-d12c-4ae5-b9ed-b6968f02dbe6_gdc_realn_rehead,289663,32125,14107,335895
108339cb-e827-4340-b52d-9b3cbb4e5165_gdc_realn_rehead,53507,23813,3543,80863
10e0e7f3-3fc1-43f7-b7fc-7bb6a375d060_gdc_realn_rehead,62314,18219,3022,83555
10e22941-6475-4f0b-8288-4e23e58864a6_gdc_realn_rehead,88429,43928,24227,156584
1132c05d-00f1-4c3b-a0ed-06a735c82401_gdc_realn_rehead,126567,18198,3770,148535
1198fd4b-6d38-4cb3-93b1-9a3b424fc339_gdc_realn_rehead,178670,86365,39330,304365
11be0d17-30b2-45ce-8e14-432e0c9a628f_gdc_realn_rehead,245115,13772,4918,263805
1228fb38-e5a9-4521-ad83-a67977908527_gdc_realn_rehead,220063,40603,4106,264772
12b39ffe-9ea7-421a-af7c-2558fa992d78_gdc_realn_rehead,250670,368807,268235,887712
13ed08ee-d7e8-43bd-9ee1-7850140e8210_gdc_realn_rehead,141888,52462,2977,197327
14e63f70-0dba-435f-a747-17239a97100f_gdc_realn_rehead,274485,172057,87361,533903
14fe760a-b84e-4d6e-ab4f-56fbd5cf93ac_gdc_realn_rehead,97063,30172,7684,134919
1642360c-3217-42ce-b1c3-8a18c77a26be_gdc_realn_rehead,69830,31347,4380,105557
169ff044-7e80-475a-8834-bfdb10180992_gdc_realn_rehead,140737,30538,8001,179276
170eae5f-f32e-45e5-beda-848a84ad2fb4_gdc_realn_rehead,83142,30639,4959,118740
17579b7c-6ebd-4da8-9df5-004a69a7ef3d_gdc_realn_rehead,94416,8068,2385,104869
1774634c-c5f9-46b4-bd3d-01c9e520e341_gdc_realn_rehead,67848,37258,18024,123130
17d3f67c-7d54-4866-88d5-96272a8b8bee_gdc_realn_rehead,129673,16074,4121,149868
1845d6cd-3528-4c1f-819d-c1c39e354dea_gdc_realn_rehead,139337,20376,6457,166170
18b2e6a9-0213-410f-ab5d-10e839b4d4ee_gdc_realn_rehead,118070,21204,5709,144983
18b7d94a-8660-46b8-8681-323fdfee2826_gdc_realn_rehead,57654,11763,3167,72584
19253042-25b5-469d-aa1b-4822f6dd92db_gdc_realn_rehead,271253,177565,136190,585008
19b05e39-15f0-4a05-9df4-b0ae1864494a_gdc_realn_rehead,63866,29216,14471,107553
1b5ccbbc-977d-4022-9420-30a51dd716bd_gdc_realn_rehead,292860,322812,245559,861231
1b9642cd-d963-4251-a929-b499516a3f82_gdc_realn_rehead,62691,21590,4805,89086
1bdf64ba-0881-4ab3-a2e6-e8c38d925e45_gdc_realn_rehead,110496,46466,5771,162733
1bfdc454-759f-43b2-9c8e-7298efe412fc_gdc_realn_rehead,279159,98086,9167,386412
